Job name        : med-lfb-uc_ndcs
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_NDCS]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   39] BNT [score: 1444.0, median singleton score: 151.0, visited nodes (%): 73.33333587646484, solving time (ms): 6.0, median approximation score: 1.75]
[   39] CTS [score: 1621.0, median singleton score: 160.5, visited nodes (%): 80.0, solving time (ms): 6.0, median approximation score: 2.41304349899292]
[   39] ANT-e [score: 875.0, median singleton score: 62.0, visited nodes (%): 100.0, solving time (ms): 886.0, median approximation score: 0.0]
[   40] EDF [score: 1711.0, median singleton score: 161.0, visited nodes (%): 73.33333587646484, solving time (ms): 1.0, median approximation score: 2.1639344692230225]
[   40] BNT [score: 1374.0, median singleton score: 195.0, visited nodes (%): 46.66666793823242, solving time (ms): 6.0, median approximation score: 0.0]
[   40] CTS [score: 0.0, median singleton score: 0.0, visited nodes (%): 0.0, solving time (ms): 0.0, median approximation score: 0.0]
[   40] ANT-e [score: 972.0, median singleton score: 64.0, visited nodes (%): 100.0, solving time (ms): 1430.0, median approximation score: 0.0]
[   41] EDF [score: 1601.0, median singleton score: 122.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 2.0740740299224854]
[   41] BNT [score: 1663.0, median singleton score: 121.0, visited nodes (%): 86.66666412353516, solving time (ms): 5.0, median approximation score: 2.156862735748291]
[   41] CTS [score: 1963.0, median singleton score: 147.5, visited nodes (%): 93.33333587646484, solving time (ms): 11.0, median approximation score: 2.134615421295166]
[   41] ANT-e [score: 1037.0, median singleton score: 65.0, visited nodes (%): 100.0, solving time (ms): 1271.0, median approximation score: 0.0]
[   42] EDF [score: 2059.0, median singleton score: 122.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 3.194444417953491]
[   42] BNT [score: 1388.0, median singleton score: 94.0, visited nodes (%): 86.66666412353516, solving time (ms): 8.0, median approximation score: 2.046875]
[   42] CTS [score: 1948.0, median singleton score: 233.5, visited nodes (%): 53.333335876464844, solving time (ms): 26.0, median approximation score: 3.4000000953674316]
[   42] ANT-e [score: 1525.0, median singleton score: 56.0, visited nodes (%): 100.0, solving time (ms): 1510.0, median approximation score: 0.0]
[   43] EDF [score: 1325.0, median singleton score: 92.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 2.047619104385376]
[   43] BNT [score: 1464.0, median singleton score: 150.0, visited nodes (%): 73.33333587646484, solving time (ms): 5.0, median approximation score: 2.7826087474823]
[   43] CTS [score: 1151.0, median singleton score: 185.0, visited nodes (%): 33.333335876464844, solving time (ms): 26.0, median approximation score: 0.0]
[   43] ANT-e [score: 1390.0, median singleton score: 98.0, visited nodes (%): 100.0, solving time (ms): 1451.0, median approximation score: 0.0]
[   44] EDF [score: 1422.0, median singleton score: 106.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.2799999713897705]
[   44] BNT [score: 1307.0, median singleton score: 114.0, visited nodes (%): 80.0, solving time (ms): 5.0, median approximation score: 1.0]
[   44] CTS [score: 1875.0, median singleton score: 159.5, visited nodes (%): 80.0, solving time (ms): 9.0, median approximation score: 1.807692289352417]
[   44] ANT-e [score: 1184.0, median singleton score: 96.0, visited nodes (%): 93.33333587646484, solving time (ms): 1300.0, median approximation score: 0.0]
[   45] EDF [score: 2048.0, median singleton score: 142.0, visited nodes (%): 86.66666412353516, solving time (ms): 1.0, median approximation score: 1.5833333730697632]
[   45] BNT [score: 1535.0, median singleton score: 134.5, visited nodes (%): 66.66667175292969, solving time (ms): 6.0, median approximation score: 1.3698630332946777]
